timestamp,pos,vel,start,setSpeed,waterValve,torque,waterFlow,waterTemp,P0,P1,P2,P3,T0,T1,waterPump,solenoidValve,mixer
1761225457676603400,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22358,56,20711,11247,3614,457,32770,308,203,false,false,false
1761225457876604000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18377,56,20667,11369,3658,457,32770,308,203,false,false,false
1761225458075601000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18903,56,20667,11208,3629,457,32770,308,203,false,false,false
1761225458276666000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20622,56,20689,11245,3614,457,32770,308,203,false,false,false
1761225458476769800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,17465,99,20667,11360,3675,458,32770,308,203,false,false,false
1761225458677771000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19570,56,20667,11311,3675,455,32770,308,203,false,false,false
1761225458876771600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18307,99,20711,11260,3660,455,32770,304,203,false,false,false
1761225459073771500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,13344,56,20645,11336,3724,457,32770,304,203,false,false,false
1761225459268425000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18763,78,20689,11158,3564,458,32770,304,202,false,false,false
1761225459467215600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19236,56,20711,10684,3207,454,32770,304,202,false,false,false
1761225459665218300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,13011,78,20623,10399,3194,455,32770,304,202,false,false,false
1761225459865409500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19657,56,20667,10506,3060,454,32770,304,202,false,false,false
1761225460066596900,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,15291,121,20711,10502,3013,455,32770,304,202,false,false,false
1761225460266590000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,13713,34,20689,9954,3122,455,32770,304,202,false,false,false
1761225460459590400,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18605,99,20689,9920,3329,457,32770,301,202,false,false,false
1761225460657594600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,13976,78,20711,10622,3337,457,32770,301,202,true,true,false
1761225460856595000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,14923,34,20689,10247,3424,457,32770,301,202,true,true,false
1761225461056593000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,15712,78,20711,9902,3572,455,32770,301,202,true,true,false
1761225461253590000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,16536,78,20689,10236,3737,455,32770,301,202,true,true,true
1761225461454652700,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18430,5072,20689,10550,3663,457,32770,301,202,true,true,true
1761225461656228000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,15045,10438,20667,10028,3451,455,32770,301,202,true,true,true
1761225461858626000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,16571,14381,20689,9912,3512,454,32770,301,202,true,true,true
1761225462055613000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18447,17185,20645,10495,3481,457,32770,301,202,true,true,true
1761225462258784000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18553,19309,20689,10627,3370,559,32770,300,202,true,true,true
1761225462461566200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18710,20821,20689,10605,3381,716,32770,300,202,true,true,true
1761225462657567500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18781,21960,20733,11004,3605,778,32770,300,202,true,true,true
1761225462854566700,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18062,22704,20711,11268,3968,851,32770,300,202,true,true,true
1761225463049584000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21148,23033,20667,11739,4413,910,32770,300,202,true,true,true
1761225463245573400,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20937,23340,20667,12169,4856,892,32770,300,202,true,true,true
1761225463443605200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19622,23602,20645,12537,5420,900,32770,300,202,true,true,true
1761225463638606000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22235,23712,20602,13033,5866,916,32770,300,202,false,false,false
1761225463837610000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21148,23668,20580,13397,6145,864,32770,298,202,false,false,false
1761225464038791400,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19219,23778,20580,13738,6686,938,32770,298,202,false,false,false
1761225464246323200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21832,23778,20623,14287,7497,980,32770,298,202,false,false,false
1761225464445719800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18465,19988,20580,14825,8120,1022,32770,298,202,false,false,false
1761225464648795600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21832,14271,20580,15138,8609,1057,32770,298,202,false,false,false
1761225464847468800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19938,10307,20558,15459,9028,1131,32770,298,202,false,false,false
1761225465044769800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19149,7437,20580,15631,9042,1332,32770,298,202,false,false,false
1761225465247768000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20078,5356,20492,15473,8650,1617,32770,298,202,false,false,false
1761225465445833200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22428,3801,20514,15405,8361,2302,32770,297,202,false,false,false
1761225465645850000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20710,2772,20602,15396,8721,2906,32770,297,202,false,false,false
1761225465846835500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20937,1939,20580,15530,8829,3155,32770,297,203,false,false,false
1761225466046838300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,24445,99,20492,15824,9096,3564,32770,297,203,false,false,false
1761225466242838500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,23147,56,20492,15888,9450,4154,32770,297,203,false,false,false
1761225466436204500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,23059,56,20448,16148,9764,4350,32770,297,203,false,false,false
1761225466637694200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22638,34,20492,16427,9806,4358,32770,297,203,false,false,false
1761225466834695000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22358,56,20470,16067,9378,4410,32770,297,203,false,false,false
1761225467027694600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22375,78,20470,15960,9088,4335,32770,297,203,false,false,false
1761225467223276500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,17763,56,20470,15868,8923,4249,32770,297,203,false,false,false
1761225467413090000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,24147,78,20470,15508,8408,4172,32770,297,202,false,false,false
1761225467609090800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21358,56,20470,15443,8205,4107,32770,297,202,false,false,false
1761225467808093700,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20569,253,20492,15260,8109,3941,32770,297,202,false,false,false
1761225468007093000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21271,56,20448,15110,7965,4011,32770,297,202,false,false,false
1761225468208091400,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21867,56,20470,15228,8065,4070,32770,297,202,false,false,false
1761225468396161300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21534,78,20448,15113,8019,3996,32770,297,202,false,false,false
1761225468589161000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,23796,78,20514,14888,7765,3682,32770,297,202,false,false,false
1761225468785183500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19464,78,20448,14877,7633,3388,32770,297,202,false,false,false
1761225468978355200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21639,99,20448,14442,7220,3019,32770,297,203,false,false,false
1761225469170013000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20376,78,20492,14096,6821,2647,32770,297,203,false,false,false
1761225469365026300,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18132,78,20448,14049,6779,2590,32770,297,203,false,false,false
1761225469555730000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,23463,56,20426,13680,6489,2458,32770,297,203,false,false,false
